SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	Freezer_Box	Yield1	Yield2	Yield
WUA_VD57	ViromeD	A	JepsonTop	240	3	12-08-2020	Dry	2	NA	NA	NA
WUA_VD58	ViromeD	A	JepsonBot	240	1	12-08-2020	Dry	2	NA	NA	NA
WUA_VD59	ViromeD	A	JepsonBot	240	2	12-08-2020	Dry	2	NA	NA	NA
WUA_VD60	ViromeD	A	JepsonBot	240	3	12-08-2020	Dry	2	NA	NA	NA
WUB_VD01	ViromeD	B	Hopland	0	1	01-07-2020	Dry	1	0.138	0.14	0.139
WUB_VD02	ViromeD	B	Hopland	0	2	01-07-2020	Dry	1	0.17	0.172	0.171
WUB_VD03	ViromeD	B	Hopland	0	3	01-07-2020	Dry	1	0.158	0.157	0.1575
WUB_VD04	ViromeD	B	McLaughlin	0	1	01-07-2020	Dry	1	0.16	0.155	0.1575
WUB_VD05	ViromeD	B	McLaughlin	0	2	01-07-2020	Dry	1	0.134	0.133	0.1335
WUB_VD06	ViromeD	B	McLaughlin	0	3	01-07-2020	Dry	1	0.098	0.098	0.098
WUB_VD07	ViromeD	B	Hopland	24	1	01-09-2021	Wet	1	0.635	0.626	0.6305
WUB_VD08	ViromeD	B	Hopland	24	2	01-09-2021	Wet	1	0.612	0.611	0.6115
WUB_VD09	ViromeD	B	Hopland	24	3	01-09-2021	Wet	1	0.645	0.627	0.636
WUB_VD10	ViromeD	B	McLaughlin	24	1	01-09-2021	Wet	1	0.638	0.611	0.6245
WUB_VD11	ViromeD	B	McLaughlin	24	2	01-09-2021	Wet	1	0.718	0.694	0.706
WUB_VD12	ViromeD	B	McLaughlin	24	3	01-09-2021	Wet	1	0.661	0.659	0.66
WUB_VD13	ViromeD	B	Hopland	48	1	01-10-2021	Wet	1	0.677	0.692	0.6845
WUB_VD14	ViromeD	B	Hopland	48	2	01-10-2021	Wet	1	0.68	0.693	0.6865
WUB_VD15	ViromeD	B	Hopland	48	3	01-10-2021	Wet	1	0.599	0.611	0.605
WUB_VD16	ViromeD	B	McLaughlin	48	1	01-10-2021	Wet	1	0.537	0.544	0.5405
WUB_VD17	ViromeD	B	McLaughlin	48	2	01-10-2021	Wet	1	0.561	0.572	0.5665
WUB_VD18	ViromeD	B	McLaughlin	48	3	01-10-2021	Wet	1	0.666	0.675	0.6705
WUB_VD19	ViromeD	B	Hopland	72	1	01-11-2021	Wet	1	0.52	0.517	0.5185
WUB_VD20	ViromeD	B	Hopland	72	2	01-11-2021	Wet	1	0.596	0.592	0.594
WUB_VD21	ViromeD	B	Hopland	72	3	01-11-2021	Wet	1	0.637	0.634	0.6355
WUB_VD22	ViromeD	B	McLaughlin	72	1	01-11-2021	Wet	1	0.551	0.544	0.5475
WUB_VD23	ViromeD	B	McLaughlin	72	2	01-11-2021	Wet	1	0.579	0.572	0.5755
WUB_VD24	ViromeD	B	McLaughlin	72	3	01-11-2021	Wet	1	0.429	0.422	0.4255
WUB_VD25	ViromeD	B	Hopland	120	1	01-13-2021	Wet	1	0.587	0.581	0.584
WUB_VD26	ViromeD	B	Hopland	120	2	01-13-2021	Wet	1	0.685	0.664	0.6745
WUB_VD27	ViromeD	B	Hopland	120	3	01-13-2021	Wet	1	0.699	0.695	0.697
WUB_VD28	ViromeD	B	McLaughlin	120	1	01-13-2021	Wet	1	0.542	0.529	0.5355
WUB_VD29	ViromeD	B	McLaughlin	120	2	01-13-2021	Wet	1	0.495	0.482	0.4885
WUB_VD30	ViromeD	B	McLaughlin	120	3	01-13-2021	Wet	1	0.45	0.44	0.445
WUB_VD31	ViromeD	B	Hopland	168	1	01-15-2021	Wet	1	0.741	0.738	0.7395
