SampleID	Profile	Soil	Status	hrs_post_wetup	DNA_yield
WUB_VD29	+DNase Virome	McLaughlin	Wet	120	0.4885
WUB_VD30	+DNase Virome	McLaughlin	Wet	120	0.445
WUB_VD31	+DNase Virome	Hopland	Wet	168	0.7395
WUB_VD32	+DNase Virome	Hopland	Wet	168	0.671
WUB_VD33	+DNase Virome	Hopland	Wet	168	0.6825
WUB_VD34	+DNase Virome	McLaughlin	Wet	168	0.462
WUB_VD35	+DNase Virome	McLaughlin	Wet	168	0.473
WUB_VD36	+DNase Virome	McLaughlin	Wet	168	0.5965
WUB_VD37	+DNase Virome	Hopland	Wet	240	0.8435
WUB_VD38	+DNase Virome	Hopland	Wet	240	0.857
WUB_VD39	+DNase Virome	Hopland	Wet	240	0.7035
WUB_VD40	+DNase Virome	McLaughlin	Wet	240	0.6325
WUB_VD41	+DNase Virome	McLaughlin	Wet	240	0.6095
WUB_VD42	+DNase Virome	McLaughlin	Wet	240	0.505
WUB_VD43	+DNase Virome	Hopland	Dry	240	0.1145
WUB_VD44	+DNase Virome	Hopland	Dry	240	0.0965
WUB_VD45	+DNase Virome	Hopland	Dry	240	0.108
WUB_VD46	+DNase Virome	McLaughlin	Dry	240	0.073
WUB_VD47	+DNase Virome	McLaughlin	Dry	240	0.0785
WUB_VD48	+DNase Virome	McLaughlin	Dry	240	0.0775
WUA_VN01	Untreated Virome	Jepson Mound	Dry	0	5.98
WUA_VN02	Untreated Virome	Jepson Mound	Dry	0	5.85
WUA_VN03	Untreated Virome	Jepson Mound	Dry	0	6.045
WUA_VN04	Untreated Virome	Jepson Swale	Dry	0	3.3
WUA_VN05	Untreated Virome	Jepson Swale	Dry	0	1.78
WUA_VN06	Untreated Virome	Jepson Swale	Dry	0	1.64
WUA_VN19	Untreated Virome	Jepson Mound	Wet	24	1.795
WUA_VN20	Untreated Virome	Jepson Mound	Wet	24	1.43
WUA_VN21	Untreated Virome	Jepson Mound	Wet	24	1.26
WUA_VN22	Untreated Virome	Jepson Swale	Wet	24	1.4
WUA_VN23	Untreated Virome	Jepson Swale	Wet	24	1.275
WUA_VN24	Untreated Virome	Jepson Swale	Wet	24	1.22
WUA_VN25	Untreated Virome	Jepson Mound	Wet	48	1.205
WUA_VN26	Untreated Virome	Jepson Mound	Wet	48	1.62
WUA_VN27	Untreated Virome	Jepson Mound	Wet	48	1.495
WUA_VN28	Untreated Virome	Jepson Swale	Wet	48	1.59
WUA_VN29	Untreated Virome	Jepson Swale	Wet	48	1.645
WUA_VN30	Untreated Virome	Jepson Swale	Wet	48	1.56
WUA_VN31	Untreated Virome	Jepson Mound	Wet	72	1.515
WUA_VN32	Untreated Virome	Jepson Mound	Wet	72	1.635
WUA_VN33	Untreated Virome	Jepson Mound	Wet	72	1.59
WUA_VN34	Untreated Virome	Jepson Swale	Wet	72	1.36
WUA_VN35	Untreated Virome	Jepson Swale	Wet	72	1.7
WUA_VN36	Untreated Virome	Jepson Swale	Wet	72	1.875
WUA_VN37	Untreated Virome	Jepson Mound	Wet	120	1.535
WUA_VN38	Untreated Virome	Jepson Mound	Wet	120	1.61
WUA_VN39	Untreated Virome	Jepson Mound	Wet	120	1.45
WUA_VN40	Untreated Virome	Jepson Swale	Wet	120	1.74
WUA_VN41	Untreated Virome	Jepson Swale	Wet	120	1.755
WUA_VN42	Untreated Virome	Jepson Swale	Wet	120	1.73
WUA_VN43	Untreated Virome	Jepson Mound	Wet	168	2.02
WUA_VN44	Untreated Virome	Jepson Mound	Wet	168	1.83
WUA_VN45	Untreated Virome	Jepson Mound	Wet	168	1.675
WUA_VN46	Untreated Virome	Jepson Swale	Wet	168	2.47
WUA_VN47	Untreated Virome	Jepson Swale	Wet	168	2.84
WUA_VN48	Untreated Virome	Jepson Swale	Wet	168	1.69
WUA_VN49	Untreated Virome	Jepson Mound	Wet	240	1.815
WUA_VN50	Untreated Virome	Jepson Mound	Wet	240	1.605
WUA_VN51	Untreated Virome	Jepson Mound	Wet	240	1.59
WUA_VN52	Untreated Virome	Jepson Swale	Wet	240	2.855
WUA_VN53	Untreated Virome	Jepson Swale	Wet	240	2.56
WUA_VN54	Untreated Virome	Jepson Swale	Wet	240	1.585
