vOTU_ID	Soil	Cluster	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies
WUB_VD34_contig_27662	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN11_contig_14193	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_33183	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_45339	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Thermoplasmatota	Thermoplasmata	RBG-16-68-12	RBG-16-68-12	RBG-16-68-12	Unclassified
WUB_VD44_contig_5601	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD20_contig_95477	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD45_contig_121273	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD43_contig_81977	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_32748	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD30_contig_117067	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_103478	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD20_contig_81542	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium moriokaense_B
WUB_VD04_contig_64596	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD16_contig_98345	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD42_contig_10370	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN08_contig_44777	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Unclassified
WUB_VD04_contig_64572	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD23_contig_9341	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD30_contig_42490	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD39_contig_132869	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD11_contig_24676	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Unassigned	Unassigned
WUB_VD43_contig_28513	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_31926	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD19_contig_43921	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD03_contig_8338	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_17357	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD03_contig_21386	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD06_contig_64868	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_1187	Hopland	Dry-dominant	Caudovirales	Siphoviridae	Mudcatvirus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD03_contig_660	Hopland	Dry-dominant	Caudovirales	Siphoviridae	Mudcatvirus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_67116	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_64594	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_12821	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_64383	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_60108	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_3946	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD09_contig_9117	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_60151	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_63824	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_8046	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD07_contig_68855	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_56669	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD08_contig_1997	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD26_contig_106024	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD31_contig_26887	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD05_contig_55154	McLaughlin	Dry-dominant	Caudovirales	Siphoviridae	Mudcatvirus	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD05_contig_63738	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_29330	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD03_contig_9852	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_10855	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_71568	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_57229	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_82183	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD48_contig_44354	McLaughlin	Dry-dominant	Caudovirales	Siphoviridae	Mudcatvirus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD21_contig_2444	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_4098	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD28_contig_29023	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_13370	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_91909	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_106902	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD06_contig_36887	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_64584	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD44_contig_8648	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD16_contig_52041	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_9738	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_8282	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium indicum
WUB_VN05_contig_29473	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD45_contig_2508	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_19002	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD29_contig_10789	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_106674	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_5712	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD09_contig_79167	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_35304	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus	Unclassified
WUB_VD46_contig_33560	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_46531	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD16_contig_69029	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_99899	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_35538	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_9189	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_7617	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN07_contig_23005	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_63948	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD12_contig_93200	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Microvirga sp003151255
WUB_VD02_contig_58809	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Unclassified
WUB_VD02_contig_5915	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_15300	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_4431	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN05_contig_7299	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD21_contig_17304	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_20038	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_82009	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD01_contig_1858	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_48879	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_56700	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified
WUB_VD17_contig_81830	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_29467	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD16_contig_2320	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN07_contig_6840	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD35_contig_4424	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_54770	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN08_contig_9436	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD13_contig_41053	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	AC-14	Unassigned	Unassigned
WUB_VD43_contig_21053	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD38_contig_175388	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_48681	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD09_contig_73186	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN10_contig_60934	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN11_contig_55230	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_5634	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_79745	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_54622	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_15816	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Geodermatophilaceae	Klenkia	Klenkia sp009296285
WUB_VD44_contig_87170	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD10_contig_30467	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_76415	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD47_contig_10380	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium moriokaense
WUB_VD06_contig_2555	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_112958	Hopland	Dry-dominant	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD02_contig_32589	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_43204	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD01_contig_5338	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_33226	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_106973	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_17873	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD32_contig_83131	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD48_contig_10752	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_12702	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_64787	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_28993	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD48_contig_29326	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD43_contig_2842	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium scrofulaceum
WUB_VD06_contig_34327	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter siccitolerans
WUB_VD45_contig_99662	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_15476	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_38363	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD11_contig_33088	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	Tropicimonas haliotis
WUB_VD47_contig_52774	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_37712	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_33939	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_29708	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD45_contig_53848	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_6576	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_46353	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter sp000425945
WUB_VD04_contig_45187	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD36_contig_36199	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN04_contig_18600	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_61653	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_20127	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD28_contig_10883	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_34299	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_44857	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Micromonosporaceae	Micromonospora	Unclassified
WUB_VD04_contig_64151	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unclassified
WUB_VD05_contig_63003	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified
WUB_VD24_contig_36927	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD42_contig_70739	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD06_contig_900	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_30239	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_64374	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD46_contig_8666	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_47068	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD04_contig_64530	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD36_contig_40160	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
