vOTU_ID	Soil	Cluster	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies
WUA_VD50_contig_44595	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD53_contig_11976	Jepson Swale	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD35_contig_62720	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	PALSA-600	PALSA-600 sp013821525
WUB_VD40_contig_43427	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD40_contig_106653	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUA_VN50_contig_29537	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD31_contig_106902	Hopland	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD44_contig_42469	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD37_contig_89371	Hopland	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VN53_contig_19398	Jepson Swale	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD52_contig_116614	Jepson Swale	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
