SampleID	Profile	Batch	Soil	Time	Replicate	Status	TimeFctr	depth_raw_reads	depth_qual_reads	RarefactionFactor
WUB_TM23	TotalMG	B	McLaughlin	72	2	Wet	T3	140188840	152390728	0.643937484175546
WUB_TM24	TotalMG	B	McLaughlin	72	3	Wet	T3	163735760	122551420	0.800725948340705
WUB_TM25	TotalMG	B	Hopland	120	1	Wet	T4	127618272	139083028	0.705550514761585
WUB_TM26	TotalMG	B	Hopland	120	2	Wet	T4	129215528	132583418	0.740138574493531
WUB_TM27	TotalMG	B	Hopland	120	3	Wet	T4	146112840	137299194	0.714717247356893
WUB_TM28	TotalMG	B	McLaughlin	120	1	Wet	T4	137035640	156947178	0.625242857186002
WUB_TM29	TotalMG	B	McLaughlin	120	2	Wet	T4	120566072	139963178	0.701113702919778
WUB_TM30	TotalMG	B	McLaughlin	120	3	Wet	T4	160585184	124573332	0.787729608131538
WUB_TM31	TotalMG	B	Hopland	168	1	Wet	T5	142834008	144397094	0.679585019903517
WUB_TM32	TotalMG	B	Hopland	168	2	Wet	T5	136937064	163857618	0.598874212854724
WUB_TM33	TotalMG	B	Hopland	168	3	Wet	T5	119578400	139844686	0.701707764569617
WUB_TM34	TotalMG	B	McLaughlin	168	1	Wet	T5	135255160	184143230	0.532900948897225
WUB_TM35	TotalMG	B	McLaughlin	168	2	Wet	T5	150783080	119846692	0.818796917648758
WUB_TM36	TotalMG	B	McLaughlin	168	3	Wet	T5	153778600	116929386	0.839225325274521
WUB_TM37	TotalMG	B	Hopland	240	1	Wet	T6	133119304	179340782	0.54717115039679
WUB_TM38	TotalMG	B	Hopland	240	2	Wet	T6	150252408	124220408	0.78996763559173
WUB_TM39	TotalMG	B	Hopland	240	3	Wet	T6	129442472	204833414	0.479072725898129
WUB_TM40	TotalMG	B	McLaughlin	240	1	Wet	T6	220953768	109996392	0.892121097935649
WUB_TM41	TotalMG	B	McLaughlin	240	2	Wet	T6	154418600	119992034	0.81780513863112
WUB_TM42	TotalMG	B	McLaughlin	240	3	Wet	T6	157510768	126624848	0.774967184955673
WUB_VD01	ViromeD	B	Hopland	0	1	Dry	T0	72160440	27112070	1
WUB_VD02	ViromeD	B	Hopland	0	2	Dry	T0	63705568	98397012	0.442386096033079
WUB_VD03	ViromeD	B	Hopland	0	3	Dry	T0	69871272	65037344	0.669299625765775
WUB_VD04	ViromeD	B	McLaughlin	0	1	Dry	T0	71739000	53966548	0.806600970660565
WUB_VD05	ViromeD	B	McLaughlin	0	2	Dry	T0	76944344	53018972	0.821016861662274
WUB_VD06	ViromeD	B	McLaughlin	0	3	Dry	T0	82235400	53552038	0.812844321629739
WUB_VD07	ViromeD	B	Hopland	24	1	Wet	T1	82399496	54477584	0.799034516655511
WUB_VD08	ViromeD	B	Hopland	24	2	Wet	T1	73188832	48616690	0.895360626155339
WUB_VD09	ViromeD	B	Hopland	24	3	Wet	T1	74971008	56154422	0.775174393211633
WUB_VD10	ViromeD	B	McLaughlin	24	1	Wet	T1	77727112	58494410	0.744164613336556
WUB_VD11	ViromeD	B	McLaughlin	24	2	Wet	T1	86019248	52714732	0.825755312575619
WUB_VD12	ViromeD	B	McLaughlin	24	3	Wet	T1	85884168	53148028	0.819023238265774
WUB_VD13	ViromeD	B	Hopland	48	1	Wet	T2	80651312	55671960	0.78189217695946
WUB_VD14	ViromeD	B	Hopland	48	2	Wet	T2	76048800	55793644	0.780186897274535
WUB_VD15	ViromeD	B	Hopland	48	3	Wet	T2	72436152	48272972	0.901735861632882
WUB_VD16	ViromeD	B	McLaughlin	48	1	Wet	T2	78942376	55396434	0.785781084753578
WUB_VD17	ViromeD	B	McLaughlin	48	2	Wet	T2	86330216	52954276	0.822019925265336
WUB_VD18	ViromeD	B	McLaughlin	48	3	Wet	T2	88452096	53755080	0.80977407158542
WUB_VD19	ViromeD	B	Hopland	72	1	Wet	T3	70166344	53495152	0.813708688966806
WUB_VD20	ViromeD	B	Hopland	72	2	Wet	T3	118046048	57225270	0.760668669627946
WUB_VD21	ViromeD	B	Hopland	72	3	Wet	T3	77700992	52484744	0.829373770023533
WUB_VD22	ViromeD	B	McLaughlin	72	1	Wet	T3	71054312	50380526	0.864013805651811
WUB_VD23	ViromeD	B	McLaughlin	72	2	Wet	T3	75586080	53056302	0.820439200606179
WUB_VD24	ViromeD	B	McLaughlin	72	3	Wet	T3	69753384	53313804	0.816476535795495
WUB_VD25	ViromeD	B	Hopland	120	1	Wet	T4	81303776	53743030	0.80995563517725
WUB_VD26	ViromeD	B	Hopland	120	2	Wet	T4	84521248	52185614	0.834127773221179
WUB_VD27	ViromeD	B	Hopland	120	3	Wet	T4	74649952	57909802	0.75167706496389
WUB_VD28	ViromeD	B	McLaughlin	120	1	Wet	T4	66926632	67267096	0.647113857865962
WUB_VD29	ViromeD	B	McLaughlin	120	2	Wet	T4	73889528	56345738	0.772542370462873
WUB_VD30	ViromeD	B	McLaughlin	120	3	Wet	T4	70712328	61509410	0.707687978148384
WUB_VD31	ViromeD	B	Hopland	168	1	Wet	T5	94521072	51644518	0.842867194539409
WUB_VD32	ViromeD	B	Hopland	168	2	Wet	T5	76577480	54078116	0.804936880567363
WUB_VD33	ViromeD	B	Hopland	168	3	Wet	T5	80549736	54200188	0.803123967023878
WUB_VD34	ViromeD	B	McLaughlin	168	1	Wet	T5	67763328	58707070	0.741468957657059
WUB_VD35	ViromeD	B	McLaughlin	168	2	Wet	T5	71036176	58803318	0.740255337292362
WUB_VD36	ViromeD	B	McLaughlin	168	3	Wet	T5	73845552	59113866	0.736366489716643
WUB_VD37	ViromeD	B	Hopland	240	1	Wet	T6	94490096	51510618	0.845058197515704
WUB_VD38	ViromeD	B	Hopland	240	2	Wet	T6	65403088	81039274	0.537140424036869
WUB_VD39	ViromeD	B	Hopland	240	3	Wet	T6	71646640	56220548	0.774262641481189
WUB_VD40	ViromeD	B	McLaughlin	240	1	Wet	T6	68263656	56118088	0.77567628462324
WUB_VD41	ViromeD	B	McLaughlin	240	2	Wet	T6	71705296	51233954	0.849621522477067
WUB_VD42	ViromeD	B	McLaughlin	240	3	Wet	T6	67168784	58881348	0.7392743454175
WUB_VD43	ViromeD	B	Hopland	240	1	Dry	T6	66032712	76954650	0.565650938572263
WUB_VD44	ViromeD	B	Hopland	240	2	Dry	T6	65140560	84781460	0.513431474286949
WUB_VD45	ViromeD	B	Hopland	240	3	Dry	T6	66533472	67097742	0.64874716648438
WUB_VD46	ViromeD	B	McLaughlin	240	1	Dry	T6	66852296	72975002	0.596498373511521
WUB_VD47	ViromeD	B	McLaughlin	240	2	Dry	T6	80607008	54428822	0.799750360204379
WUB_VD48	ViromeD	B	McLaughlin	240	3	Dry	T6	70358296	60615090	0.718129264511527
WUB_VN01	ViromeN	B	Hopland	0	1	Dry	T0	92754888	52865960	0.823393162632439
WUB_VN02	ViromeN	B	Hopland	0	2	Dry	T0	93087808	52441026	0.830065185986254
WUB_VN03	ViromeN	B	Hopland	0	3	Dry	T0	73581376	58723334	0.741263600598699
WUB_VN04	ViromeN	B	McLaughlin	0	1	Dry	T0	95458680	52160728	0.83452573744753
WUB_VN05	ViromeN	B	McLaughlin	0	2	Dry	T0	74310536	59140156	0.736039147411109
WUB_VN06	ViromeN	B	McLaughlin	0	3	Dry	T0	87859664	53463958	0.814183454206664
WUB_VN07	ViromeN	B	Hopland	24	1	Wet	T1	79143256	55013724	0.791247471267351
WUB_VN08	ViromeN	B	Hopland	24	2	Wet	T1	82405328	53971918	0.806520716940243
WUB_VN09	ViromeN	B	Hopland	24	3	Wet	T1	98705760	53233278	0.817711620163613
WUB_VN10	ViromeN	B	McLaughlin	24	1	Wet	T1	98763480	53072482	0.82018907651615
WUB_VN11	ViromeN	B	McLaughlin	24	2	Wet	T1	87276944	52984284	0.82155436883888
WUB_VN12	ViromeN	B	McLaughlin	24	3	Wet	T1	99542216	50328104	0.86491376667001
